ENTIDAD, YEAR, MES, TOTAL, FUENTE
1,2015,1,577,RENAPO 
1,2015,2,482,RENAPO 
1,2015,3,519,RENAPO 
1,2015,4,496,RENAPO 
1,2015,5,422,RENAPO 
1,2015,6,440,RENAPO 
1,2015,7,444,RENAPO 
1,2015,8,402,RENAPO 
1,2015,9,418,RENAPO 
1,2015,10,498,RENAPO 
1,2015,11,461,RENAPO 
1,2015,12,462,RENAPO 
1,2016,1,581,RENAPO 
1,2016,2,585,RENAPO 
1,2016,3,642,RENAPO 
1,2016,4,451,RENAPO 
1,2016,5,529,RENAPO 
1,2016,6,445,RENAPO 
1,2016,7,422,RENAPO 
1,2016,8,425,RENAPO 
1,2016,9,471,RENAPO 
1,2016,10,424,RENAPO 
1,2016,11,457,RENAPO 
1,2016,12,500,RENAPO 
1,2017,1,573,RENAPO 
1,2017,2,524,RENAPO 
1,2017,3,596,RENAPO 
1,2017,4,391,RENAPO 
1,2017,5,608,RENAPO 
1,2017,6,521,RENAPO 
1,2017,7,478,RENAPO 
1,2017,8,524,RENAPO 
1,2017,9,471,RENAPO 
1,2017,10,500,RENAPO 
1,2017,11,475,RENAPO 
1,2017,12,491,RENAPO 
1,2018,1,743,RENAPO 
1,2018,2,560,RENAPO 
1,2018,3,420,RENAPO 
1,2018,4,463,RENAPO 
1,2018,5,590,RENAPO 
1,2018,6,455,RENAPO 
1,2018,7,479,RENAPO 
1,2018,8,558,RENAPO 
1,2018,9,450,RENAPO 
1,2018,10,524,RENAPO 
1,2018,11,494,RENAPO 
1,2018,12,477,RENAPO 
1,2019,1,800,RENAPO 
1,2019,2,623,RENAPO 
1,2019,3,597,RENAPO 
1,2019,4,526,RENAPO 
1,2019,5,629,RENAPO 
1,2019,6,511,RENAPO 
1,2019,7,509,RENAPO 
1,2019,8,504,RENAPO 
1,2019,9,501,RENAPO 
1,2019,10,534,RENAPO 
1,2019,11,512,RENAPO 
1,2019,12,513,RENAPO 
1,2020,1,838,RENAPO 
1,2020,2,549,RENAPO 
1,2020,3,554,RENAPO 
1,2020,4,384,RENAPO 
1,2020,5,486,RENAPO 
1,2020,6,594,RENAPO 
1,2020,7,720,RENAPO 
1,2020,8,784,RENAPO 
1,2020,9,919,RENAPO 
2,2015,1,1569,RENAPO 
2,2015,2,1346,RENAPO 
2,2015,3,1347,RENAPO 
2,2015,4,1299,RENAPO 
2,2015,5,1317,RENAPO 
2,2015,6,1297,RENAPO 
2,2015,7,1249,RENAPO 
2,2015,8,1310,RENAPO 
2,2015,9,1333,RENAPO 
2,2015,10,1361,RENAPO 
2,2015,11,1452,RENAPO 
2,2015,12,1512,RENAPO 
2,2016,1,1719,RENAPO 
2,2016,2,1661,RENAPO 
2,2016,3,1546,RENAPO 
2,2016,4,1356,RENAPO 
2,2016,5,1356,RENAPO 
2,2016,6,1358,RENAPO 
2,2016,7,1322,RENAPO 
2,2016,8,1440,RENAPO 
2,2016,9,1358,RENAPO 
2,2016,10,1312,RENAPO 
2,2016,11,1382,RENAPO 
2,2016,12,1462,RENAPO 
2,2017,1,1339,RENAPO 
2,2017,2,1535,RENAPO 
2,2017,3,1788,RENAPO 
2,2017,4,1500,RENAPO 
2,2017,5,1475,RENAPO 
2,2017,6,1499,RENAPO 
2,2017,7,1401,RENAPO 
2,2017,8,1524,RENAPO 
2,2017,9,1487,RENAPO 
2,2017,10,1512,RENAPO 
2,2017,11,1492,RENAPO 
2,2017,12,1205,RENAPO 
2,2018,1,1917,RENAPO 
2,2018,2,1360,RENAPO 
2,2018,3,1364,RENAPO 
2,2018,4,1628,RENAPO 
2,2018,5,1758,RENAPO 
2,2018,6,1607,RENAPO 
2,2018,7,1711,RENAPO 
2,2018,8,1739,RENAPO 
2,2018,9,1513,RENAPO 
2,2018,10,1766,RENAPO 
2,2018,11,1741,RENAPO 
2,2018,12,1953,RENAPO 
2,2019,1,2299,RENAPO 
2,2019,2,1817,RENAPO 
2,2019,3,1938,RENAPO 
2,2019,4,1810,RENAPO 
2,2019,5,1728,RENAPO 
2,2019,6,1651,RENAPO 
2,2019,7,1853,RENAPO 
2,2019,8,1734,RENAPO 
2,2019,9,1602,RENAPO 
2,2019,10,1796,RENAPO 
2,2019,11,1634,RENAPO 
2,2019,12,1602,RENAPO 
2,2020,1,2365,RENAPO 
2,2020,2,1889,RENAPO 
2,2020,3,1939,RENAPO 
2,2020,4,2846,RENAPO 
2,2020,5,3900,RENAPO 
2,2020,6,3445,RENAPO 
2,2020,7,2961,RENAPO 
2,2020,8,2646,RENAPO 
2,2020,9,2520,RENAPO 
3,2018,1,365,RENAPO 
3,2018,2,294,RENAPO 
3,2018,3,301,RENAPO 
3,2018,4,294,RENAPO 
3,2018,5,281,RENAPO 
3,2018,6,291,RENAPO 
3,2018,7,274,RENAPO 
3,2018,8,271,RENAPO 
3,2018,9,269,RENAPO 
3,2018,10,306,RENAPO 
3,2018,11,288,RENAPO 
3,2018,12,315,RENAPO 
3,2019,1,367,RENAPO 
3,2019,2,293,RENAPO 
3,2019,3,324,RENAPO 
3,2019,4,283,RENAPO 
3,2019,5,291,RENAPO 
3,2019,6,307,RENAPO 
3,2019,7,273,RENAPO 
3,2019,8,294,RENAPO 
3,2019,9,305,RENAPO 
3,2019,10,286,RENAPO 
3,2019,11,308,RENAPO 
3,2019,12,332,RENAPO 
3,2020,1,365,RENAPO 
3,2020,2,351,RENAPO 
3,2020,3,341,RENAPO 
3,2020,4,304,RENAPO 
3,2020,5,304,RENAPO 
3,2020,6,332,RENAPO 
3,2020,7,538,RENAPO 
3,2020,8,633,RENAPO 
3,2020,9,471,RENAPO 
4,2015,1,366,RENAPO 
4,2015,2,348,RENAPO 
4,2015,3,343,RENAPO 
4,2015,4,340,RENAPO 
4,2015,5,327,RENAPO 
4,2015,6,295,RENAPO 
4,2015,7,331,RENAPO 
4,2015,8,359,RENAPO 
4,2015,9,336,RENAPO 
4,2015,10,386,RENAPO 
4,2015,11,302,RENAPO 
4,2015,12,340,RENAPO 
4,2016,1,434,RENAPO 
4,2016,2,349,RENAPO 
4,2016,3,382,RENAPO 
4,2016,4,368,RENAPO 
4,2016,5,429,RENAPO 
4,2016,6,352,RENAPO 
4,2016,7,396,RENAPO 
4,2016,8,553,RENAPO 
4,2016,9,535,RENAPO 
4,2016,10,546,RENAPO 
4,2016,11,416,RENAPO 
4,2016,12,348,RENAPO 
4,2017,1,371,RENAPO 
4,2017,2,320,RENAPO 
4,2017,3,375,RENAPO 
4,2017,4,343,RENAPO 
4,2017,5,386,RENAPO 
4,2017,6,344,RENAPO 
4,2017,7,393,RENAPO 
4,2017,8,359,RENAPO 
4,2017,9,356,RENAPO 
4,2017,10,372,RENAPO 
4,2017,11,325,RENAPO 
4,2017,12,383,RENAPO 
4,2018,1,447,RENAPO 
4,2018,2,381,RENAPO 
4,2018,3,363,RENAPO 
4,2018,4,357,RENAPO 
4,2018,5,359,RENAPO 
4,2018,6,345,RENAPO 
4,2018,7,400,RENAPO 
4,2018,8,389,RENAPO 
4,2018,9,332,RENAPO 
4,2018,10,397,RENAPO 
4,2018,11,389,RENAPO 
4,2018,12,383,RENAPO 
4,2019,1,402,RENAPO 
4,2019,2,371,RENAPO 
4,2019,3,345,RENAPO 
4,2019,4,357,RENAPO 
4,2019,5,450,RENAPO 
4,2019,6,377,RENAPO 
4,2019,7,408,RENAPO 
4,2019,8,401,RENAPO 
4,2019,9,389,RENAPO 
4,2019,10,426,RENAPO 
4,2019,11,422,RENAPO 
4,2019,12,403,RENAPO 
4,2020,1,445,RENAPO 
4,2020,2,437,RENAPO 
4,2020,3,400,RENAPO 
4,2020,4,336,RENAPO 
4,2020,5,451,RENAPO 
4,2020,6,791,RENAPO 
4,2020,7,1508,RENAPO 
4,2020,8,867,RENAPO 
4,2020,9,519,RENAPO 
5,2015,1,1459,RENAPO 
5,2015,2,1089,RENAPO 
5,2015,3,1158,RENAPO 
5,2015,4,1007,RENAPO 
5,2015,5,909,RENAPO 
5,2015,6,955,RENAPO 
5,2015,7,979,RENAPO 
5,2015,8,927,RENAPO 
5,2015,9,924,RENAPO 
5,2015,10,880,RENAPO 
5,2015,11,922,RENAPO 
5,2015,12,991,RENAPO 
5,2016,1,1263,RENAPO 
5,2016,2,1288,RENAPO 
5,2016,3,1079,RENAPO 
5,2016,4,1028,RENAPO 
5,2016,5,1042,RENAPO 
5,2016,6,953,RENAPO 
5,2016,7,937,RENAPO 
5,2016,8,991,RENAPO 
5,2016,9,944,RENAPO 
5,2016,10,1007,RENAPO 
5,2016,11,996,RENAPO 
5,2016,12,1174,RENAPO 
5,2017,1,1291,RENAPO 
5,2017,2,1152,RENAPO 
5,2017,3,1226,RENAPO 
5,2017,4,917,RENAPO 
5,2017,5,1015,RENAPO 
5,2017,6,969,RENAPO 
5,2017,7,1032,RENAPO 
5,2017,8,1038,RENAPO 
5,2017,9,959,RENAPO 
5,2017,10,1111,RENAPO 
5,2017,11,1297,RENAPO 
5,2017,12,1582,RENAPO 
5,2018,1,2079,RENAPO 
5,2018,2,1412,RENAPO 
5,2018,3,1186,RENAPO 
5,2018,4,1357,RENAPO 
5,2018,5,1274,RENAPO 
5,2018,6,1278,RENAPO 
5,2018,7,1301,RENAPO 
5,2018,8,1280,RENAPO 
5,2018,9,1094,RENAPO 
5,2018,10,1372,RENAPO 
5,2018,11,1424,RENAPO 
5,2018,12,1454,RENAPO 
5,2019,1,2000,RENAPO 
5,2019,2,1609,RENAPO 
5,2019,3,1369,RENAPO 
5,2019,4,1352,RENAPO 
5,2019,5,1253,RENAPO 
5,2019,6,1225,RENAPO 
5,2019,7,1432,RENAPO 
5,2019,8,1350,RENAPO 
5,2019,9,1220,RENAPO 
5,2019,10,1357,RENAPO 
5,2019,11,1375,RENAPO 
5,2019,12,1530,RENAPO 
5,2020,1,1932,RENAPO 
5,2020,2,1585,RENAPO 
5,2020,3,1465,RENAPO 
5,2020,4,1271,RENAPO 
5,2020,5,1344,RENAPO 
5,2020,6,1535,RENAPO 
5,2020,7,2602,RENAPO 
5,2020,8,2717,RENAPO 
5,2020,9,2139,RENAPO 
6,2015,1,397.0,Registro Civil 
6,2015,2,315.0,Registro Civil 
6,2015,3,318.0,Registro Civil 
6,2015,4,324.0,Registro Civil 
6,2015,5,327.0,Registro Civil 
6,2015,6,356.0,Registro Civil 
6,2015,7,480.0,Registro Civil 
6,2015,8,479.0,Registro Civil 
6,2015,9,407.0,Registro Civil 
6,2015,10,420.0,Registro Civil 
6,2015,11,349.0,Registro Civil 
6,2015,12,386.0,Registro Civil 
6,2016,1,385.0,Registro Civil 
6,2016,2,365.0,Registro Civil 
6,2016,3,420.0,Registro Civil 
6,2016,4,341.0,Registro Civil 
6,2016,5,376.0,Registro Civil 
6,2016,6,398.0,Registro Civil 
6,2016,7,406.0,Registro Civil 
6,2016,8,408.0,Registro Civil 
6,2016,9,378.0,Registro Civil 
6,2016,10,433.0,Registro Civil 
6,2016,11,402.0,Registro Civil 
6,2016,12,382.0,Registro Civil 
6,2017,1,432.0,Registro Civil 
6,2017,2,387.0,Registro Civil 
6,2017,3,439.0,Registro Civil 
6,2017,4,398.0,Registro Civil 
6,2017,5,425.0,Registro Civil 
6,2017,6,399.0,Registro Civil 
6,2017,7,422.0,Registro Civil 
6,2017,8,414.0,Registro Civil 
6,2017,9,404.0,Registro Civil 
6,2017,10,435.0,Registro Civil 
6,2017,11,387.0,Registro Civil 
6,2017,12,420.0,Registro Civil 
6,2018,1,417.0,Registro Civil 
6,2018,2,384.0,Registro Civil 
6,2018,3,408.0,Registro Civil 
6,2018,4,388.0,Registro Civil 
6,2018,5,410.0,Registro Civil 
6,2018,6,423.0,Registro Civil 
6,2018,7,398.0,Registro Civil 
6,2018,8,393.0,Registro Civil 
6,2018,9,374.0,Registro Civil 
6,2018,10,451.0,Registro Civil 
6,2018,11,434.0,Registro Civil 
6,2018,12,420.0,Registro Civil 
6,2019,1,452.0,Registro Civil 
6,2019,2,424.0,Registro Civil 
6,2019,3,402.0,Registro Civil 
6,2019,4,434.0,Registro Civil 
6,2019,5,429.0,Registro Civil 
6,2019,6,436.0,Registro Civil 
6,2019,7,442.0,Registro Civil 
6,2019,8,453.0,Registro Civil 
6,2019,9,425.0,Registro Civil 
6,2019,10,447.0,Registro Civil 
6,2019,11,448.0,Registro Civil 
6,2019,12,509.0,Registro Civil 
6,2020,1,447.0,Registro Civil 
6,2020,2,462.0,Registro Civil 
6,2020,3,414.0,Registro Civil 
6,2020,4,399.0,Registro Civil 
6,2020,5,457.0,Registro Civil 
6,2020,6,521.0,Registro Civil 
6,2020,7,654.0,Registro Civil 
6,2020,8,728.0,Registro Civil 
6,2020,9,708.0,Registro Civil 
7,2017,1,2278.0,Registro Civil 
7,2017,2,2019.0,Registro Civil 
7,2017,3,2090.0,Registro Civil 
7,2017,4,2019.0,Registro Civil 
7,2017,5,2144.0,Registro Civil 
7,2017,6,2240.0,Registro Civil 
7,2017,7,2237.0,Registro Civil 
7,2017,8,2156.0,Registro Civil 
7,2017,9,1975.0,Registro Civil 
7,2017,10,2155.0,Registro Civil 
7,2017,11,2054.0,Registro Civil 
7,2017,12,2214.0,Registro Civil 
7,2018,1,1993.0,Registro Civil 
7,2018,2,1659.0,Registro Civil 
7,2018,3,1714.0,Registro Civil 
7,2018,4,1529.0,Registro Civil 
7,2018,5,1588.0,Registro Civil 
7,2018,6,1759.0,Registro Civil 
7,2018,7,1495.0,Registro Civil 
7,2018,8,1509.0,Registro Civil 
7,2018,9,1547.0,Registro Civil 
7,2018,10,1648.0,Registro Civil 
7,2018,11,1578.0,Registro Civil 
7,2018,12,1718.0,Registro Civil 
7,2019,1,2569.0,Registro Civil 
7,2019,2,2068.0,Registro Civil 
7,2019,3,2126.0,Registro Civil 
7,2019,4,2089.0,Registro Civil 
7,2019,5,2328.0,Registro Civil 
7,2019,6,2087.0,Registro Civil 
7,2019,7,2302.0,Registro Civil 
7,2019,8,2188.0,Registro Civil 
7,2019,9,2096.0,Registro Civil 
7,2019,10,2382.0,Registro Civil 
7,2019,11,2424.0,Registro Civil 
7,2019,12,2289.0,Registro Civil 
7,2020,1,2535.0,Registro Civil 
7,2020,2,2086.0,Registro Civil 
7,2020,3,2140.0,Registro Civil 
7,2020,4,2191.0,Registro Civil 
7,2020,5,3269.0,Registro Civil 
7,2020,6,7207.0,Registro Civil 
7,2020,7,3500.0,Registro Civil 
7,2020,8,2269.0,estimacion 
7,2020,9,2300.0,Registro Civil 
8,2015,1,2435.0,Registro Civil 
8,2015,2,2001.0,Registro Civil 
8,2015,3,1999.0,Registro Civil 
8,2015,4,1786.0,Registro Civil 
8,2015,5,1848.0,Registro Civil 
8,2015,6,1727.0,Registro Civil 
8,2015,7,1700.0,Registro Civil 
8,2015,8,1726.0,Registro Civil 
8,2015,9,1713.0,Registro Civil 
8,2015,10,1731.0,Registro Civil 
8,2015,11,1730.0,Registro Civil 
8,2015,12,2014.0,Registro Civil 
8,2016,1,2337.0,Registro Civil 
8,2016,2,2152.0,Registro Civil 
8,2016,3,2228.0,Registro Civil 
8,2016,4,1935.0,Registro Civil 
8,2016,5,1868.0,Registro Civil 
8,2016,6,1877.0,Registro Civil 
8,2016,7,1762.0,Registro Civil 
8,2016,8,1941.0,Registro Civil 
8,2016,9,1751.0,Registro Civil 
8,2016,10,1914.0,Registro Civil 
8,2016,11,1846.0,Registro Civil 
8,2016,12,2003.0,Registro Civil 
8,2017,1,2434.0,Registro Civil 
8,2017,2,2279.0,Registro Civil 
8,2017,3,2273.0,Registro Civil 
8,2017,4,1831.0,Registro Civil 
8,2017,5,1931.0,Registro Civil 
8,2017,6,1988.0,Registro Civil 
8,2017,7,1833.0,Registro Civil 
8,2017,8,1965.0,Registro Civil 
8,2017,9,1816.0,Registro Civil 
8,2017,10,1902.0,Registro Civil 
8,2017,11,2011.0,Registro Civil 
8,2017,12,2147.0,Registro Civil 
8,2018,1,2503.0,Registro Civil 
8,2018,2,2286.0,Registro Civil 
8,2018,3,2251.0,Registro Civil 
8,2018,4,1996.0,Registro Civil 
8,2018,5,2040.0,Registro Civil 
8,2018,6,2143.0,Registro Civil 
8,2018,7,1824.0,Registro Civil 
8,2018,8,2042.0,Registro Civil 
8,2018,9,1808.0,Registro Civil 
8,2018,10,2111.0,Registro Civil 
8,2018,11,2045.0,Registro Civil 
8,2018,12,2292.0,Registro Civil 
8,2019,1,3107.0,Registro Civil 
8,2019,2,2331.0,Registro Civil 
8,2019,3,2305.0,Registro Civil 
8,2019,4,2070.0,Registro Civil 
8,2019,5,2021.0,Registro Civil 
8,2019,6,1866.0,Registro Civil 
8,2019,7,1990.0,Registro Civil 
8,2019,8,2058.0,Registro Civil 
8,2019,9,1930.0,Registro Civil 
8,2019,10,2157.0,Registro Civil 
8,2019,11,2273.0,Registro Civil 
8,2019,12,2101.0,Registro Civil 
8,2020,1,2930.0,Registro Civil 
8,2020,2,2270.0,Registro Civil 
8,2020,3,2290.0,Registro Civil 
8,2020,4,2736.0,Registro Civil 
8,2020,5,3364.0,Registro Civil 
8,2020,6,2927.0,Registro Civil 
8,2020,7,2717.0,Registro Civil 
8,2020,8,2725.0,Registro Civil 
8,2020,9,2536.0,Registro Civil 
9,2016,1,6989,RENAPO 
9,2016,2,7171,RENAPO 
9,2016,3,6693,RENAPO 
9,2016,4,5819,RENAPO 
9,2016,5,5748,RENAPO 
9,2016,6,5610,RENAPO 
9,2016,7,5759,RENAPO 
9,2016,8,5608,RENAPO 
9,2016,9,5434,RENAPO 
9,2016,10,5897,RENAPO 
9,2016,11,6071,RENAPO 
9,2016,12,6611,RENAPO 
9,2017,1,6742,RENAPO 
9,2017,2,6427,RENAPO 
9,2017,3,7067,RENAPO 
9,2017,4,6168,RENAPO 
9,2017,5,6089,RENAPO 
9,2017,6,5705,RENAPO 
9,2017,7,5882,RENAPO 
9,2017,8,5853,RENAPO 
9,2017,9,6248,RENAPO 
9,2017,10,6028,RENAPO 
9,2017,11,6001,RENAPO 
9,2017,12,7106,RENAPO 
9,2018,1,7870,RENAPO 
9,2018,2,6715,RENAPO 
9,2018,3,6281,RENAPO 
9,2018,4,5828,RENAPO 
9,2018,5,6065,RENAPO 
9,2018,6,5864,RENAPO 
9,2018,7,5876,RENAPO 
9,2018,8,5887,RENAPO 
9,2018,9,5846,RENAPO 
9,2018,10,6189,RENAPO 
9,2018,11,6371,RENAPO 
9,2018,12,7100,RENAPO 
9,2019,1,7913,RENAPO 
9,2019,2,5894,RENAPO 
9,2019,3,6551,RENAPO 
9,2019,4,6110,RENAPO 
9,2019,5,6279,RENAPO 
9,2019,6,5650,RENAPO 
9,2019,7,5817,RENAPO 
9,2019,8,6016,RENAPO 
9,2019,9,5888,RENAPO 
9,2019,10,6119,RENAPO 
9,2019,11,6251,RENAPO 
9,2019,12,7288,RENAPO 
9,2020,1,7857,RENAPO 
9,2020,2,6364,RENAPO 
9,2020,3,6358,RENAPO 
9,2020,4,8447,RENAPO 
9,2020,5,17751,RENAPO 
9,2020,6,13823,RENAPO 
9,2020,7,10405,RENAPO 
9,2020,8,10261,RENAPO 
9,2020,9,9548,RENAPO 
10,2015,1,705,RENAPO 
10,2015,2,559,RENAPO 
10,2015,3,588,RENAPO 
10,2015,4,531,RENAPO 
10,2015,5,487,RENAPO 
10,2015,6,517,RENAPO 
10,2015,7,421,RENAPO 
10,2015,8,496,RENAPO 
10,2015,9,466,RENAPO 
10,2015,10,534,RENAPO 
10,2015,11,565,RENAPO 
10,2015,12,599,RENAPO 
10,2016,1,883,RENAPO 
10,2016,2,950,RENAPO 
10,2016,3,778,RENAPO 
10,2016,4,724,RENAPO 
10,2016,5,694,RENAPO 
10,2016,6,637,RENAPO 
10,2016,7,521,RENAPO 
10,2016,8,700,RENAPO 
10,2016,9,637,RENAPO 
10,2016,10,663,RENAPO 
10,2016,11,628,RENAPO 
10,2016,12,677,RENAPO 
10,2017,1,802,RENAPO 
10,2017,2,772,RENAPO 
10,2017,3,852,RENAPO 
10,2017,4,667,RENAPO 
10,2017,5,758,RENAPO 
10,2017,6,693,RENAPO 
10,2017,7,586,RENAPO 
10,2017,8,746,RENAPO 
10,2017,9,609,RENAPO 
10,2017,10,725,RENAPO 
10,2017,11,678,RENAPO 
10,2017,12,698,RENAPO 
10,2018,1,996,RENAPO 
10,2018,2,870,RENAPO 
10,2018,3,682,RENAPO 
10,2018,4,815,RENAPO 
10,2018,5,753,RENAPO 
10,2018,6,693,RENAPO 
10,2018,7,696,RENAPO 
10,2018,8,831,RENAPO 
10,2018,9,604,RENAPO 
10,2018,10,772,RENAPO 
10,2018,11,749,RENAPO 
10,2018,12,734,RENAPO 
10,2019,1,1159,RENAPO 
10,2019,2,841,RENAPO 
10,2019,3,810,RENAPO 
10,2019,4,774,RENAPO 
10,2019,5,734,RENAPO 
10,2019,6,655,RENAPO 
10,2019,7,694,RENAPO 
10,2019,8,746,RENAPO 
10,2019,9,718,RENAPO 
10,2019,10,769,RENAPO 
10,2019,11,695,RENAPO 
10,2019,12,680,RENAPO 
10,2020,1,1047,RENAPO 
10,2020,2,872,RENAPO 
10,2020,3,760,RENAPO 
10,2020,4,591,RENAPO 
10,2020,5,630,RENAPO 
10,2020,6,875,RENAPO 
10,2020,7,1025,RENAPO 
10,2020,8,982,RENAPO 
10,2020,9,982,RENAPO 
11,2015,1,3139,RENAPO 
11,2015,2,2647,RENAPO 
11,2015,3,2750,RENAPO 
11,2015,4,2342,RENAPO 
11,2015,5,2291,RENAPO 
11,2015,6,2279,RENAPO 
11,2015,7,2357,RENAPO 
11,2015,8,2407,RENAPO 
11,2015,9,2292,RENAPO 
11,2015,10,2377,RENAPO 
11,2015,11,2426,RENAPO 
11,2015,12,2812,RENAPO 
11,2016,1,3010,RENAPO 
11,2016,2,3158,RENAPO 
11,2016,3,3129,RENAPO 
11,2016,4,2487,RENAPO 
11,2016,5,2619,RENAPO 
11,2016,6,2352,RENAPO 
11,2016,7,2472,RENAPO 
11,2016,8,2479,RENAPO 
11,2016,9,2341,RENAPO 
11,2016,10,2478,RENAPO 
11,2016,11,2643,RENAPO 
11,2016,12,2839,RENAPO 
11,2017,1,3088,RENAPO 
11,2017,2,2938,RENAPO 
11,2017,3,3006,RENAPO 
11,2017,4,2694,RENAPO 
11,2017,5,3052,RENAPO 
11,2017,6,2618,RENAPO 
11,2017,7,2630,RENAPO 
11,2017,8,2816,RENAPO 
11,2017,9,2801,RENAPO 
11,2017,10,2941,RENAPO 
11,2017,11,2911,RENAPO 
11,2017,12,3435,RENAPO 
11,2018,1,3658,RENAPO 
11,2018,2,3084,RENAPO 
11,2018,3,2946,RENAPO 
11,2018,4,2844,RENAPO 
11,2018,5,2971,RENAPO 
11,2018,6,2671,RENAPO 
11,2018,7,2786,RENAPO 
11,2018,8,2811,RENAPO 
11,2018,9,2721,RENAPO 
